Season_End_Year.x,Squad,Comp.x,Player,Nation.x,Pos.x,Age,Born.x,MP_Playing.x,Starts_Playing.x,Min_Playing.x,Mins_Per_90_Playing.x,Gls,Ast,G_minus_PK,PK,PKatt,CrdY.x,CrdR.x,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected.x,npxG_Expected.x,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url.x,Season_End_Year.y,Comp.y,Nation.y,Pos.y,Born.y,Mins_Per_90.x,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected.y,npxG_Expected.y,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url.y,Season_End_Year.x.x,Comp.x.x,Nation.x.x,Pos.x.x,Born.x.x,Mins_Per_90.y,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Press_Pass,Sw_Pass,Crs_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Ground_Height,Low_Height,High_Height,Left_Body,Right_Body,Head_Body,TI_Body,Other_Body,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,Url.x.x,Season_End_Year.y.y,Comp.y.y,Nation.y.y,Pos.y.y,Born.y.y,Mins_Per_90.x.x,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,Url.y.y,Season_End_Year.x.x.x,Comp.x.x.x,Nation.x.x.x,Pos.x.x.x,Born.x.x.x,Mins_Per_90.y.y,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int.x,Tkl+Int,Clr,Err,Url.x.x.x,Season_End_Year.y.y.y,Comp.y.y.y,Nation.y.y.y,Pos.y.y.y,Born.y.y.y,Mins_Per_90.x.x.x,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url.y.y.y,Season_End_Year.x.x.x.x,Comp.x.x.x.x,Nation.x.x.x.x,Pos.x.x.x.x,Born.x.x.x.x,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,Url.x.x.x.x,Season_End_Year.y.y.y.y,Comp.y.y.y.y,Nation.y.y.y.y,Pos.y.y.y.y,Born.y.y.y.y,Mins_Per_90.y.y.y,CrdY.y,CrdR.y,2CrdY,Fls,Fld,Off,Crs,Int.y,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Url.y.y.y.y,Season_End_Year.x.x.x.x.x,Comp.x.x.x.x.x,Nation.x.x.x.x.x,Pos.x.x.x.x.x,Born.x.x.x.x.x,MP_Playing.y,Starts_Playing.y,Min_Playing.y,Mins_Per_90_Playing.y,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url.x.x.x.x.x,Season_End_Year.y.y.y.y.y,Comp.y.y.y.y.y,Nation.y.y.y.y.y,Pos.y.y.y.y.y,Born.y.y.y.y.y,Mins_Per_90,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,Url.y.y.y.y.y
2021,Alavés,La Liga,Martin Agirregabiria,ESP,"DF,MF",24,1996,26,16,1558,17.3,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,2021,La Liga,ESP,"DF,MF",1996,17.3,0,2,0,0,0.12,0,0,NA,14.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,2021,La Liga,ESP,"DF,MF",1996,17.3,727,546,181,18,1,81,18,22,1,0,0,0,353,158,216,62,444,44,162,1,520,5,22,27,19,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,2021,La Liga,ESP,"DF,MF",1996,17.3,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,2021,La Liga,ESP,"DF,MF",1996,17.3,34,16,18,10,6,13,28,46.4,15,187,58,31,73,90,24,25,4,1,21,34,68,48,1,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,2021,La Liga,ESP,"DF,MF",1996,17.3,883,48,306,454,155,8,706,4,8,50,4,0,412,1633,843,33,8,2,8,9,501,425,84.8,19,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,2021,La Liga,ESP,"DF,MF",1996,26,1558,60,45.6,17.3,16,83,11,10,24,12,1.12,19,31,-12,-0.69,-0.26,17,24.8,-7.8,-0.45,-0.43,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,2021,La Liga,ESP,"DF,MF",1996,17.3,1,0,0,26,21,1,22,34,16,0,0,0,126,25,24,51,https://fbref.com/en/players/355c883a/Martin-Agirregabiria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Rodrigo Battaglia,ARG,MF,29,1991,32,29,2492,27.7,1,0,1,0,0,10,1,0.04,0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,2021,La Liga,ARG,MF,1991,27.7,1,17,5,29.4,0.61,0.18,0.06,0.2,15,0,0,0,1.2,1.2,0.07,-0.2,-0.2,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,2021,La Liga,ARG,MF,1991,27.7,1035,985,50,46,0,187,27,6,2,1,1,0,733,127,175,175,749,76,0,3,871,2,17,22,23,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,2021,La Liga,ARG,MF,1991,27.7,18,0.65,10,0,0,4,2,2,1,0.04,1,0,0,0,0,0,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,2021,La Liga,ARG,MF,1991,27.7,53,32,22,25,6,18,52,34.6,34,476,133,27.9,179,253,44,42,15,0,27,18,71,55,0,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,2021,La Liga,ARG,MF,1991,27.7,1266,86,380,813,145,21,1227,18,23,78.3,19,0,804,4594,2104,78,23,0,15,18,840,778,92.6,16,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,2021,La Liga,ARG,MF,1991,32,2492,78,72.9,27.7,29,85,22,3,11,2,1.03,30,46,-16,-0.58,-0.09,33.5,43.4,-10,-0.36,-0.52,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,2021,La Liga,ARG,MF,1991,27.7,10,1,0,45,33,1,6,18,32,0,0,0,259,45,24,65.2,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Rubén Duarte,ESP,DF,24,1995,31,29,2545,28.3,1,1,1,0,0,5,1,0.04,0.04,0.07,0.04,0.07,1.3,1.3,2.4,3.7,0.05,0.08,0.13,0.05,0.13,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,2021,La Liga,ESP,DF,1995,28.3,1,12,1,8.3,0.42,0.04,0.08,1,22.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,2021,La Liga,ESP,DF,1995,28.3,1319,1003,316,52,3,171,51,58,19,7,11,0,568,267,484,851,111,72,245,2,934,4,46,27,38,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,2021,La Liga,ESP,DF,1995,28.3,48,1.7,31,15,0,1,1,0,3,0.11,3,0,0,0,0,0,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,2021,La Liga,ESP,DF,1995,28.3,61,34,31,23,7,23,48,47.9,25,370,115,31.1,156,162,52,82,7,0,75,42,103,116,1,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,2021,La Liga,ESP,DF,1995,28.3,1656,105,521,830,369,12,1344,5,11,45.5,6,1,713,3260,1688,82,25,1,8,7,808,755,93.4,15,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,2021,La Liga,ESP,DF,1995,31,2545,82,74.4,28.3,29,85,22,2,45,1,1.06,28,43,-15,-0.53,0.09,34.2,36.4,-2.1,-0.07,0.57,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,2021,La Liga,ESP,DF,1995,28.3,5,1,1,52,41,0,58,42,34,0,1,0,252,59,29,67,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Manu García,ESP,MF,34,1986,25,10,1124,12.5,0,0,0,0,0,9,1,0,0,0,0,0,0.7,0.7,0.3,1,0.06,0.02,0.08,0.06,0.08,https://fbref.com/en/players/05a4465d/Manu-Garcia,2021,La Liga,ESP,MF,1986,12.5,0,11,2,18.2,0.88,0.16,0,0,17.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,https://fbref.com/en/players/05a4465d/Manu-Garcia,2021,La Liga,ESP,MF,1986,12.5,389,378,11,4,0,90,10,7,0,0,0,0,238,52,99,208,110,34,4,3,278,2,7,12,10,https://fbref.com/en/players/05a4465d/Manu-Garcia,2021,La Liga,ESP,MF,1986,12.5,11,0.88,7,0,0,1,2,1,1,0.08,0,0,0,0,1,0,https://fbref.com/en/players/05a4465d/Manu-Garcia,2021,La Liga,ESP,MF,1986,12.5,26,18,9,15,2,6,32,18.8,26,250,72,28.8,85,140,25,24,3,0,21,13,39,30,0,https://fbref.com/en/players/05a4465d/Manu-Garcia,2021,La Liga,ESP,MF,1986,12.5,521,25,123,341,77,13,510,2,6,33.3,4,1,281,1079,467,18,6,0,8,11,370,307,83,36,https://fbref.com/en/players/05a4465d/Manu-Garcia,2021,La Liga,ESP,MF,1986,25,1124,45,32.9,12.5,10,86,7,15,18,5,1.15,11,17,-6,-0.48,0.11,13,15.2,-2.2,-0.18,0.06,https://fbref.com/en/players/05a4465d/Manu-Garcia,2021,La Liga,ESP,MF,1986,12.5,9,1,1,25,29,1,7,13,18,0,0,0,103,44,34,56.4,https://fbref.com/en/players/05a4465d/Manu-Garcia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Joselu,ESP,FW,30,1990,37,34,3026,33.6,11,3,9,2,4,1,0,0.33,0.09,0.42,0.27,0.36,13.7,10.6,3,13.6,0.41,0.09,0.5,0.32,0.41,https://fbref.com/en/players/6265208f/Joselu,2021,La Liga,ESP,FW,1990,33.6,11,89,30,33.7,2.65,0.89,0.1,0.3,15.4,3,2,4,13.7,10.6,0.12,-2.7,-1.6,https://fbref.com/en/players/6265208f/Joselu,2021,La Liga,ESP,FW,1990,33.6,1027,1005,22,0,5,434,24,23,0,0,0,0,410,336,281,151,468,148,4,30,611,4,20,34,37,https://fbref.com/en/players/6265208f/Joselu,2021,La Liga,ESP,FW,1990,33.6,58,1.73,37,0,5,6,7,3,7,0.21,3,0,1,0,1,2,https://fbref.com/en/players/6265208f/Joselu,2021,La Liga,ESP,FW,1990,33.6,29,21,10,16,3,7,28,25,21,560,131,23.4,52,275,233,37,6,0,31,17,46,56,0,https://fbref.com/en/players/6265208f/Joselu,2021,La Liga,ESP,FW,1990,33.6,1486,57,155,800,565,155,1458,30,65,46.2,35,3,711,2140,737,42,12,11,77,50,1777,1129,63.5,211,https://fbref.com/en/players/6265208f/Joselu,2021,La Liga,ESP,FW,1990,37,3026,82,88.5,33.6,34,87,20,3,25,0,1.03,32,50,-18,-0.54,0.15,38.2,43.7,-5.5,-0.16,0.49,https://fbref.com/en/players/6265208f/Joselu,2021,La Liga,ESP,FW,1990,33.6,1,0,0,43,78,14,23,17,21,1,0,0,161,261,136,65.7,https://fbref.com/en/players/6265208f/Joselu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Jota,ESP,MF,29,1991,23,18,1398,15.5,0,2,0,0,0,5,1,0,0.13,0.13,0,0.13,0.9,0.9,1.9,2.8,0.06,0.12,0.18,0.06,0.18,https://fbref.com/en/players/9f351459/Jota,2021,La Liga,ESP,MF,1991,15.5,0,16,2,12.5,1.03,0.13,0,0,18.8,0,0,0,0.9,0.9,0.06,-0.9,-0.9,https://fbref.com/en/players/9f351459/Jota,2021,La Liga,ESP,MF,1991,15.5,499,446,53,26,3,108,24,22,16,6,7,0,329,53,117,430,42,17,2,0,369,3,11,19,12,https://fbref.com/en/players/9f351459/Jota,2021,La Liga,ESP,MF,1991,15.5,27,1.74,15,8,2,1,0,1,2,0.13,1,0,0,1,0,0,https://fbref.com/en/players/9f351459/Jota,2021,La Liga,ESP,MF,1991,15.5,23,14,8,10,5,4,24,16.7,20,306,73,23.9,78,157,71,16,0,0,16,16,39,11,0,https://fbref.com/en/players/9f351459/Jota,2021,La Liga,ESP,MF,1991,15.5,646,15,120,380,208,15,596,22,45,48.9,27,3,469,2722,1462,60,25,3,23,21,547,414,75.7,36,https://fbref.com/en/players/9f351459/Jota,2021,La Liga,ESP,MF,1991,23,1398,61,40.9,15.5,18,75,5,5,10,7,1.13,12,18,-6,-0.39,0.28,16.1,19.4,-3.3,-0.21,0.02,https://fbref.com/en/players/9f351459/Jota,2021,La Liga,ESP,MF,1991,15.5,5,1,1,19,8,2,22,16,14,0,0,0,107,9,18,33.3,https://fbref.com/en/players/9f351459/Jota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Víctor Laguardia,ESP,DF,30,1989,32,30,2631,29.2,0,1,0,0,0,5,1,0,0.03,0.03,0,0.03,1.1,1.1,1,2.1,0.04,0.03,0.07,0.04,0.07,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,2021,La Liga,ESP,DF,1989,29.2,0,8,3,37.5,0.27,0.1,0,0,7.5,0,0,0,1.1,1.1,0.14,-1.1,-1.1,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,2021,La Liga,ESP,DF,1989,29.2,1047,976,71,68,2,112,57,3,0,0,0,0,586,106,355,71,855,87,3,2,814,6,25,12,11,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,2021,La Liga,ESP,DF,1989,29.2,12,0.41,9,1,0,1,0,1,2,0.07,2,0,0,0,0,0,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,2021,La Liga,ESP,DF,1989,29.2,22,16,17,4,1,12,35,34.3,23,188,74,39.4,114,68,6,47,16,1,31,26,48,183,1,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,2021,La Liga,ESP,DF,1989,29.2,1332,203,812,550,33,18,1263,0,0,NA,0,0,653,3179,1871,29,1,0,3,3,762,736,96.6,1,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,2021,La Liga,ESP,DF,1989,32,2631,82,76.9,29.2,30,85,25,2,45,5,1.03,32,46,-14,-0.48,0.32,35.8,41.9,-6.1,-0.21,0.05,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,2021,La Liga,ESP,DF,1989,29.2,5,1,0,28,10,1,3,26,16,0,0,0,234,65,36,64.4,https://fbref.com/en/players/b7c99b9b/Victor-Laguardia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Florian Lejeune,FRA,DF,29,1991,34,34,3015,33.5,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,2.2,2.2,0.3,2.5,0.06,0.01,0.07,0.06,0.07,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,2021,La Liga,FRA,DF,1991,33.5,1,23,6,26.1,0.69,0.18,0.04,0.17,18.2,5,0,0,2.2,2.2,0.11,-1.2,-1.2,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,2021,La Liga,FRA,DF,1991,33.5,1387,1305,82,78,1,134,96,5,0,0,0,0,913,96,378,146,1108,75,4,1,1116,5,29,19,14,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,2021,La Liga,FRA,DF,1991,33.5,17,0.51,12,2,0,2,0,1,3,0.09,1,0,0,2,0,0,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,2021,La Liga,FRA,DF,1991,33.5,48,29,38,10,0,20,30,66.7,10,263,93,35.4,171,82,10,54,24,2,30,58,106,228,0,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,2021,La Liga,FRA,DF,1991,33.5,1802,309,1084,729,72,32,1721,10,12,83.3,10,1,925,4234,1946,29,2,0,5,6,1024,994,97.1,6,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,2021,La Liga,FRA,DF,1991,34,3015,89,88.2,33.5,34,89,33,0,NA,0,1,34,53,-19,-0.57,-0.12,38.9,46.5,-7.6,-0.23,-0.06,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,2021,La Liga,FRA,DF,1991,33.5,10,0,0,35,19,2,5,58,29,0,1,0,304,106,51,67.5,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Édgar Méndez,ESP,"MF,FW",30,1990,33,26,2090,23.2,5,1,5,0,0,12,1,0.22,0.04,0.26,0.22,0.26,5.4,5.4,1.4,6.9,0.23,0.06,0.3,0.23,0.3,https://fbref.com/en/players/aed746df/Edgar-Mendez,2021,La Liga,ESP,"MF,FW",1990,23.2,5,34,10,29.4,1.46,0.43,0.15,0.5,16.6,0,0,0,5.4,5.4,0.16,-0.4,-0.4,https://fbref.com/en/players/aed746df/Edgar-Mendez,2021,La Liga,ESP,"MF,FW",1990,23.2,499,468,31,3,0,124,24,51,1,0,0,0,230,104,165,75,313,40,20,6,286,6,17,19,32,https://fbref.com/en/players/aed746df/Edgar-Mendez,2021,La Liga,ESP,"MF,FW",1990,23.2,36,1.55,25,0,3,1,5,2,2,0.09,1,0,0,0,1,0,https://fbref.com/en/players/aed746df/Edgar-Mendez,2021,La Liga,ESP,"MF,FW",1990,23.2,45,21,23,13,9,14,47,29.8,33,432,99,22.9,117,185,130,28,4,0,24,16,61,20,0,https://fbref.com/en/players/aed746df/Edgar-Mendez,2021,La Liga,ESP,"MF,FW",1990,23.2,789,24,149,366,319,66,760,26,48,54.2,33,0,488,2600,1382,66,17,16,54,34,777,485,62.4,98,https://fbref.com/en/players/aed746df/Edgar-Mendez,2021,La Liga,ESP,"MF,FW",1990,33,2090,63,61.1,23.2,26,74,3,7,25,2,0.91,20,30,-10,-0.43,0.31,21.7,28.2,-6.5,-0.28,-0.15,https://fbref.com/en/players/aed746df/Edgar-Mendez,2021,La Liga,ESP,"MF,FW",1990,23.2,12,1,1,60,53,8,51,16,21,0,0,0,146,62,58,51.7,https://fbref.com/en/players/aed746df/Edgar-Mendez,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,Alavés,La Liga,Ximo Navarro,ESP,DF,30,1990,31,28,2375,26.4,1,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1,1.3,0.01,0.04,0.05,0.01,0.05,https://fbref.com/en/players/8db394aa/Ximo-Navarro,2021,La Liga,ESP,DF,1990,26.4,1,13,3,23.1,0.49,0.11,0.08,0.33,24.9,0,0,0,0.3,0.3,0.02,0.7,0.7,https://fbref.com/en/players/8db394aa/Ximo-Navarro,2021,La Liga,ESP,DF,1990,26.4,1056,777,279,35,0,114,31,26,0,0,0,0,537,198,321,108,637,52,244,3,810,1,26,22,32,https://fbref.com/en/players/8db394aa/Ximo-Navarro,2021,La Liga,ESP,DF,1990,26.4,22,0.83,16,3,1,0,2,0,4,0.15,1,1,1,0,1,0,https://fbref.com/en/players/8db394aa/Ximo-Navarro,2021,La Liga,ESP,DF,1990,26.4,47,35,29,17,1,15,36,41.7,21,299,104,34.8,158,111,30,48,4,0,44,57,104,88,1,https://fbref.com/en/players/8db394aa/Ximo-Navarro,2021,La Liga,ESP,DF,1990,26.4,1347,88,501,700,242,8,1080,16,25,64,16,1,674,4172,2034,77,34,1,11,23,666,603,90.5,23,https://fbref.com/en/players/8db394aa/Ximo-Navarro,2021,La Liga,ESP,DF,1990,31,2375,77,69.4,26.4,28,83,21,3,18,4,1.16,21,34,-13,-0.49,0.2,30,32.5,-2.5,-0.09,0.41,https://fbref.com/en/players/8db394aa/Ximo-Navarro,2021,La Liga,ESP,DF,1990,26.4,6,0,0,32,40,0,26,57,35,1,0,0,206,25,37,40.3,https://fbref.com/en/players/8db394aa/Ximo-Navarro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
