Date,Squad,Home_Away,Match_Half,Minute,Shooting_Player,Outcome,Distance,Body_Part,Shot_Notes,SCA1_Player,SCA1_Event,SCA2_Player,SCA2_Event
2021-08-13,Brentford,Home,1,11,Frank Onyeka,Off Target,7,Head,,Bryan Mbeumo,Pass (Live),Rico Henry,Pass (Live)
2021-08-13,Brentford,Home,1,12,Bryan Mbeumo,Woodwork,16,Right Foot,,Ivan Toney,Pass (Live),Frank Onyeka,Pass (Live)
2021-08-13,Brentford,Home,1,22,Sergi Canós,Goal,17,Right Foot,,Ethan Pinnock,Pass (Live),,
2021-08-13,Brentford,Home,1,28,Sergi Canós,Off Target,20,Right Foot,,Frank Onyeka,Pass (Live),Sergi Canós,Pass (Live)
2021-08-13,Brentford,Home,1,30,Bryan Mbeumo,Off Target,13,Right Foot,,Bryan Mbeumo,Dribble,Kristoffer Ajer,Pass (Live)
2021-08-13,Brentford,Home,2,66,Sergi Canós,Saved,16,Right Foot,,Bryan Mbeumo,Pass (Live),Vitaly Janelt,Pass (Live)
2021-08-13,Brentford,Home,2,73,Christian Nørgaard,Goal,3,Head,,,,,
2021-08-13,Brentford,Home,2,80,Christian Nørgaard,Off Target,3,Head,,Sergi Canós,Pass (Dead),Rico Henry,Pass (Live)
2021-08-13,Arsenal,Away,1,2,Kieran Tierney,Saved,33,Left Foot,,Nicolas Pépé,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,16,Calum Chambers,Wayward,20,Right Foot,Half volley,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,31,Folarin Balogun,Off Target,9,Right Foot,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,33,Nicolas Pépé,Off Target,24,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live)
2021-08-13,Arsenal,Away,1,38,Folarin Balogun,Off Target,24,Right Foot,,,,,
2021-08-13,Arsenal,Away,1,42,Folarin Balogun,Wayward,9,Head,,Kieran Tierney,Pass (Live),Granit Xhaka,Pass (Live)
2021-08-13,Arsenal,Away,1,45+1,Nicolas Pépé,Blocked,16,Left Foot,,Martinelli,Pass (Live),Emile Smith Rowe,Pass (Live)
2021-08-13,Arsenal,Away,2,51,Emile Smith Rowe,Saved,17,Right Foot,,Kieran Tierney,Pass (Live),Ben White,Interception
