Player,scaled_pred,value,rating,rating_scaled
Ederson,3.693687678128469,-0.9153678761292414,2.7783198019992277,2.794428818116904
João Cancelo,3.785526867233763,-0.9025839513403301,2.882942915893433,2.8996548160577134
Rodri,3.4513659918932245,-0.8052561051428663,2.646109886750358,2.6614570516313467
Bernardo Silva,3.1100803586772012,-0.8072849952612302,2.302795363415971,2.3161642001686737
Aymeric Laporte,3.2382162694573973,-0.8068633063662005,2.4313529630911965,2.4454626048441432
Rúben Dias,3.3495336117864705,-0.6774033850605763,2.672130226725894,2.687627332162794
Kevin De Bruyne,3.109834133435786,-0.6099856826449311,2.499848450790855,2.514352793439822
Phil Foden,3.376312087710576,-0.6097327454803564,2.76657934223022,2.782620704694405
Raheem Sterling,3.1270665521935315,-0.602491032765591,2.5245755194279402,2.5392223502388984
Jack Grealish,2.8809128600997584,-0.547102112870256,2.3338107472295024,2.3473583081608735
Gabriel Jesus,3.005571783745491,-0.48299185030125336,2.522579933444238,2.537215264817754
İlkay Gündoğan,3.549233847020455,-0.5173891361378472,3.031844710882608,3.049414648180064
Kyle Walker,1.7086700980908145,-0.4525618265343081,1.2561082715565064,1.2634456404434515
Riyad Mahrez,1.963145700971184,-0.3962654008219176,1.5668803001492664,1.5760084731061306
John Stones,0.8007849232005351,-0.3371459834884602,0.46363893971207487,0.46640975442366756
Oleksandr Zinchenko,2.2629606929435693,-0.236491198518668,2.026469494424901,2.038246020913859
Fernandinho,1.2969671598488166,-0.23155616148134728,1.0654109983674693,1.0716494863335808
Nathan Aké,1.0143526830910492,-0.2767653851256599,0.7375872979653892,0.7419367226861553
Ferrán Torres,0,-0.07479597533942221,-0.07479597533942221,-0.07512785761644511
Cole Palmer,0,-0.027098975108871597,-0.027098975108871597,-0.02715600645248656
Zack Steffen,0,-0.027144926095045166,-0.027144926095045166,-0.027202222228298465
Benjamin Mendy,0,-0.01561673434539363,-0.01561673434539363,-0.01560760000613122
James Mcatee,0,-0.001610715848724168,-0.001610715848724168,-0.001520872717744648
Liam Delap,0,-6.125197848487457e-4,-6.125197848487457e-4,-5.169246124713568e-4
Kayky Chagas,0,-4.8821448105911686e-4,-4.8821448105911686e-4,-3.9190300726635606e-4
CJ Egan-Riley,0,-2.590367296692883e-4,-2.590367296692883e-4,-1.614046336449122e-4
Scott Carson,0,NA,NA,NA
Thomas Doyle,0,NA,NA,NA
Samuel Edozie,0,NA,NA,NA
Roméo Lavia,0,NA,NA,NA
Luke Mbete-Tatu,0,NA,NA,NA
Cieran Slicker,0,NA,NA,NA
Josh Wilson-Esbrand,0,NA,NA,NA
Alisson,3.363030138182846,-0.6160411224709216,2.7469890157119243,2.762917490164216
Virgil van Dijk,1.6906906145604512,-0.5830298194317534,1.1076607951286979,1.1141427448643124
Trent Alexander-Arnold,2.6674028495842532,-0.5442067075387055,2.123196142045548,2.135530049695909
Sadio Mané,3.5080006851968406,-0.5299943972262157,2.978006287970625,2.9952659847766654
Joël Matip,1.762613230679537,-0.5565430219199117,1.2060702087596253,1.213119236488863
Mohamed Salah,4.443487086134161,-0.5049244141404966,3.938562671993665,3.961357513933855
Jordan Henderson,1.4902821298465905,-0.4804470165428877,1.0098351133037027,1.0157533487631383
Andrew Robertson,2.2756869969550655,-0.468831141914309,1.8068558550407565,1.8173668718858778
Diogo Jota,2.577408447529071,-0.43801351222707186,2.1393949353019988,2.1518221874693126
Fabinho,1.0374335256980938,-0.4283112769906692,0.6091222487074246,0.6127314017438462
Thiago Alcántara,2.4614059110715747,-0.3316888153779817,2.129717095693593,2.1420885799250433
Naby Keïta,0.696483596804902,-0.24214864316925372,0.4543349536356483,0.4570521547186027
Ibrahima Konaté,-0.39173857102517423,-0.12880023033534177,-0.520538801360516,-0.5234392483522926
Luis Díaz,2.627693645391131,-0.18469766352300984,2.4429959818681213,2.4571727157770327
Roberto Firmino,2.6745768345721643,-0.170717033993985,2.503859800578179,2.518387258375435
Curtis Jones,0,-0.12329248183009947,-0.12329248183009947,-0.1239038221445578
Kostas Tsimikas,0,-0.16514364542432164,-0.16514364542432164,-0.16599615040998525
James Milner,0,-0.09514977046330485,-0.09514977046330485,-0.0955989401915543
Alex Oxlade-Chamberlain,0,-0.19537402303583853,-0.19537402303583853,-0.19640072865180674
Harvey Elliott,0,-0.0562299322875417,-0.0562299322875417,-0.056454828921068456
Joe Gomez,0,-0.07562908171521915,-0.07562908171521915,-0.0759657647148013
Caoimhín Kelleher,0,-0.01814545838284413,-0.01814545838284413,-0.018150895655185486
Takumi Minamino,0,-0.019421882336893837,-0.019421882336893837,-0.01943467492117303
Tyler Morton,0,-0.005162121605540919,-0.005162121605540919,-0.0050927432245971085
Divock Origi,0,-0.011244667235783178,-0.011244667235783178,-0.011210339137580159
Kaide Gordon,0,-0.0015564166388555907,-0.0015564166388555907,-0.0014662606121290938
Neco Williams,0,-0.0010155635378012403,-0.0010155635378012403,-9.222908794429255e-4
Adrián,0,NA,NA,NA
Owen Beck,0,NA,NA,NA
Conor Bradley,0,NA,NA,NA
Nathaniel Phillips,0,NA,NA,NA
Marcelo Pitaluga,0,NA,NA,NA
Jarrell Quansah,0,NA,NA,NA
Rhys Williams,0,NA,NA,NA
Ben Woodburn,0,NA,NA,NA
Edouard Mendy,2.00455253733318,-0.4715971913767527,1.5329553459564274,1.5418880285201713
Antonio Rüdiger,1.9257038932612447,-0.4028809999925523,1.5228228932686925,1.531697188217587
Thiago Silva,1.2367864101250337,-0.3656078301021515,0.8711785800228822,0.8762978160188057
Mason Mount,2.295141657385832,-0.34973205495468856,1.9454096024311436,1.9567190264426138
Jorginho,1.6535990822962954,-0.3436614017112669,1.3099376805850285,1.3175852380214583
Marcos Alonso,0.9899303828984198,-0.2268165313314525,0.7631138515669673,0.7676103714310374
César Azpilicueta,1.2077392374476943,-0.2224120062821028,0.9853272311655915,0.9911042415113102
Reece James,3.392537860053402,-0.31115239415806445,3.081385465895338,3.0992408786459915
Kai Havertz,1.9848062119787493,-0.32680929600562425,1.6579969159731252,1.667650142639596
N'Golo Kanté,1.811821589559503,-0.23550478288661408,1.5763168066728888,1.5854993568990485
Andreas Christensen,0.4161081849065872,-0.18351947547992958,0.2325887094266576,0.23402811186596678
Trevoh Chalobah,1.7405086151147455,-0.2337693696026554,1.50673924551209,1.515520859462659
Romelu Lukaku,-0.01355581403552343,-0.08818540042068958,-0.10174121445621301,-0.10222836696168533
Mateo Kovačić,1.6426294621423567,-0.09992931253550594,1.5427001496068509,1.551688985982496
Timo Werner,0.2839530999104746,-0.20293926493105816,0.08101383497941647,0.08157979683500668
Hakim Ziyech,1.0955995730167143,-0.20667645413804878,0.8889231188786655,0.8941446066523493
Ruben Loftus-Cheek,1.03938968099359,-0.22412743742169258,0.8152622435718975,0.820059265231657
Christian Pulisic,-0.26320598699105635,-0.15517794655869466,-0.418383933549751,-0.42069571960615976
Callum Hudson-Odoi,0.09431438424922792,-0.13687465664642176,-0.042560272397193843,-0.04270639848410193
Malang Sarr,0,-0.04229625755250293,-0.04229625755250293,-0.04244086227064262
Ben Chilwell,0,-0.10032085522069843,-0.10032085522069843,-0.10079982299631839
Saúl Ñíguez,0,-0.09070732213302239,-0.09070732213302239,-0.09113089253501876
Kepa Arrizabalaga,0,0.01297361248579306,0.01297361248579306,0.013147496882187472
Ross Barkley,0,-0.024954313382026038,-0.024954313382026038,-0.024998986248700762
Kenedy,0,-0.01634812475281259,-0.01634812475281259,-0.016343205004304168
Emerson Palmieri,0,-6.085728935072561e-4,-6.085728935072561e-4,-5.129549774192768e-4
Tammy Abraham,0,NA,NA,NA
Marcus Bettinelli,0,NA,NA,NA
Lewis Hall,0,NA,NA,NA
Harvey Vale,0,NA,NA,NA
Kurt Zouma,-0.3376704343657448,0.0045723229503019415,-0.3330981114154428,-0.3349184433404225
Hugo Lloris,2.20098953353843,-0.4019829581777462,1.7990065753606839,1.8094723612303514
Harry Kane,3.1774158441904095,-0.4067378365285671,2.7706780076618425,2.7867429884251695
