Player,Season_End_Year,Squad,Comp,Min,Pred,Pred_scaled
Ederson,2022,Manchester City,Premier League,3330,84.56089326965333,2.5435627962411957
João Cancelo,2022,Manchester City,Premier League,3227,88.21712698619037,3.9115573838956266
Rodri,2022,Manchester City,Premier League,2884,86.13045772625557,3.1308216664537616
Bernardo Silva,2022,Manchester City,Premier League,2857,85.77406280042659,2.997475067904443
Aymeric Laporte,2022,Manchester City,Premier League,2828,87.0240248511589,3.4651534092646297
Rúben Dias,2022,Manchester City,Premier League,2402,87.71569709048447,3.723945366558976
Kevin De Bruyne,2022,Manchester City,Premier League,2201,84.54472549540161,2.537513558313449
Phil Foden,2022,Manchester City,Premier League,2128,85.04806128354313,2.7258386729898025
Raheem Sterling,2022,Manchester City,Premier League,2128,86.30467835248001,3.196007016245496
Jack Grealish,2022,Manchester City,Premier League,1914,84.6249554244196,2.567531909757476
Gabriel Jesus,2022,Manchester City,Premier League,1877,84.98804708161971,2.703384117351767
İlkay Gündoğan,2022,Manchester City,Premier League,1857,85.22350320784433,2.7914809763814556
Kyle Walker,2022,Manchester City,Premier League,1755,82.49425690355551,1.770322466804774
Riyad Mahrez,2022,Manchester City,Premier League,1498,81.58307880597123,1.4294015075546198
John Stones,2022,Manchester City,Premier League,1119,79.52288011779207,0.6585698612693787
Oleksandr Zinchenko,2022,Manchester City,Premier League,1047,86.0089022064558,3.085341178586289
Fernandinho,2022,Manchester City,Premier League,964,82.98154082759282,1.9526417118024444
Nathan Aké,2022,Manchester City,Premier League,923,81.4940798114893,1.3961021749087634
Ferrán Torres,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Cole Palmer,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Zack Steffen,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Benjamin Mendy,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
James Mcatee,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Liam Delap,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kayky Chagas,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
CJ Egan-Riley,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Scott Carson,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Thomas Doyle,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Samuel Edozie,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Roméo Lavia,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Luke Mbete-Tatu,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Cieran Slicker,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Josh Wilson-Esbrand,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Alisson,2022,Liverpool,Premier League,3240,84.57918066051307,2.5504050972695174
Virgil van Dijk,2022,Liverpool,Premier League,3060,84.1747524457612,2.3990866499905725
Trent Alexander-Arnold,2022,Liverpool,Premier League,2853,85.5826695297045,2.9258645039306277
Sadio Mané,2022,Liverpool,Premier League,2819,85.41446872766548,2.8629314956309133
Joël Matip,2022,Liverpool,Premier League,2790,82.9631391363016,1.945756644806805
Mohamed Salah,2022,Liverpool,Premier League,2762,89.89500879076539,4.539343626607836
Jordan Henderson,2022,Liverpool,Premier League,2597,80.33102784626058,0.96094159247732
Andrew Robertson,2022,Liverpool,Premier League,2537,82.97808201230805,1.951347582117062
Diogo Jota,2022,Liverpool,Premier League,2364,83.28987338835697,2.0680055826663892
Fabinho,2022,Liverpool,Premier League,2314,78.80642973072891,0.39050706008892755
Thiago Alcántara,2022,Liverpool,Premier League,1534,84.74181656822975,2.6112559779198397
Naby Keïta,2022,Liverpool,Premier League,1173,79.61227701364764,0.6920180703185964
Ibrahima Konaté,2022,Liverpool,Premier League,990,77.74089253211173,-0.008167979217193295
Luis Díaz,2022,Liverpool,Premier League,958,85.90007574629941,3.044623319710314
Roberto Firmino,2022,Liverpool,Premier League,990,86.2322747760588,3.1689169261828587
Curtis Jones,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kostas Tsimikas,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
James Milner,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Alex Oxlade-Chamberlain,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Harvey Elliott,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Joe Gomez,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Caoimhín Kelleher,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Takumi Minamino,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tyler Morton,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Divock Origi,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kaide Gordon,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Neco Williams,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Adrián,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Owen Beck,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Conor Bradley,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Nathaniel Phillips,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Marcelo Pitaluga,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Jarrell Quansah,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Rhys Williams,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ben Woodburn,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Edouard Mendy,2022,Chelsea,Premier League,3060,82.43846252056095,1.7494467734340633
Antonio Rüdiger,2022,Chelsea,Premier League,3035,83.50965885260632,2.150239200331019
Thiago Silva,2022,Chelsea,Premier League,2650,84.8810283677278,2.663342634029813
Mason Mount,2022,Chelsea,Premier League,2363,83.8764086709534,2.2874601236688283
Jorginho,2022,Chelsea,Premier League,2273,81.8165709502216,1.5167635348095063
Marcos Alonso,2022,Chelsea,Premier League,2167,78.7645236683776,0.37482773788717644
César Azpilicueta,2022,Chelsea,Premier League,2070,81.65808900123892,1.4574668745690396
Reece James,2022,Chelsea,Premier League,1864,86.05163962210943,3.101331554978278
Kai Havertz,2022,Chelsea,Premier League,1809,80.95627465943508,1.1948802087376116
N'Golo Kanté,2022,Chelsea,Premier League,1773,80.78454739893536,1.1306277617854932
Andreas Christensen,2022,Chelsea,Premier League,1496,78.51942939944819,0.28312472890170814
Trevoh Chalobah,2022,Chelsea,Premier League,1449,81.92790168042097,1.5584183764197421
Romelu Lukaku,2022,Chelsea,Premier League,1589,77.73894691641509,-0.008895939175174788
Mateo Kovačić,2022,Chelsea,Premier League,1558,83.41190456865824,2.113664040828452
Timo Werner,2022,Chelsea,Premier League,1283,79.67678829971595,0.7161552281225185
Hakim Ziyech,2022,Chelsea,Premier League,1319,79.88496372461356,0.7940449027498597
Ruben Loftus-Cheek,2022,Chelsea,Premier League,1394,79.50929119520215,0.6534855110893061
Christian Pulisic,2022,Chelsea,Premier League,1290,78.51025924822376,0.2796936798453402
Callum Hudson-Odoi,2022,Chelsea,Premier League,962,80.49242767436225,1.0213299889555836
Malang Sarr,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ben Chilwell,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Saúl Ñíguez,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kepa Arrizabalaga,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Ross Barkley,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kenedy,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Emerson Palmieri,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Tammy Abraham,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Marcus Bettinelli,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Lewis Hall,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Harvey Vale,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Kurt Zouma,2022,West Ham,Premier League,2078,75.7383298404256,-0.757434885015544
Hugo Lloris,2022,Tottenham,Premier League,3420,82.82258251707354,1.893166818972281
Harry Kane,2022,Tottenham,Premier League,3232,86.01596382094846,3.0879833101224547
Pierre Højbjerg,2022,Tottenham,Premier League,3196,83.46316692499472,2.1328440581510693
Eric Dier,2022,Tottenham,Premier League,3071,84.20300360631576,2.409656935625978
Son Heung-min,2022,Tottenham,Premier League,3006,86.84615582312128,3.3986029952234618
Ben Davies,2022,Tottenham,Premier League,2538,79.18649534966589,0.5327101439092277
Emerson,2022,Tottenham,Premier League,2286,77.85748162006172,0.03545429814811012
Sergio Reguilón,2022,Tottenham,Premier League,1916,77.64977625545468,-0.042259501526145146
Cristian Romero,2022,Tottenham,Premier League,1844,79.58849067958008,0.6831183175163085
Lucas Moura,2022,Tottenham,Premier League,1775,74.80765333973493,-1.1056512504091323
Davinson Sánchez,2022,Tottenham,Premier League,1631,79.75072221850643,0.7438179019532397
Rodrigo Bentancur,2022,Tottenham,Premier League,1361,81.40317417079667,1.3620894628952231
Oliver Skipp,2022,Tottenham,Premier League,1350,78.3419433780907,0.2167176183542679
Dejan Kulusevski,2022,Tottenham,Premier League,1261,84.61727685047258,2.564658940353765
Ryan Sessegnon,2022,Tottenham,Premier League,1047,75.92236386432056,-0.688577812915949
Japhet Tanganga,NA,NA,NA,NA,77.76272305781694,1.38243263404826e-13
Harry Winks,2022,Tottenham,Premier League,912,80.00935177859229,0.8405851947016945
