Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,overall,UrlFBref
2021,Arsenal,Premier League,Pablo Marí,ESP,DF,26,76,https://fbref.com/en/players/aa54ec6f/Pablo-Mari
2021,Arsenal,Premier League,Emile Smith Rowe,ENG,"MF,FW",20,76,https://fbref.com/en/players/17695062/Emile-Smith-Rowe
2021,Arsenal,Premier League,Rob Holding,ENG,DF,24,77,https://fbref.com/en/players/d79a8c87/Rob-Holding
2021,Arsenal,Premier League,Gabriel Dos Santos,BRA,DF,22,79,https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos
2021,Arsenal,Premier League,Granit Xhaka,SUI,"MF,DF",27,79,https://fbref.com/en/players/e61b8aee/Granit-Xhaka
2021,Arsenal,Premier League,Bukayo Saka,ENG,"FW,DF",18,80,https://fbref.com/en/players/bc7dc64d/Bukayo-Saka
2021,Arsenal,Premier League,Kieran Tierney,SCO,DF,23,80,https://fbref.com/en/players/fce2302c/Kieran-Tierney
2021,Arsenal,Premier League,Nicolas Pépé,CIV,FW,25,81,https://fbref.com/en/players/57e3f0c7/Nicolas-Pepe
2021,Arsenal,Premier League,Alexandre Lacazette,FRA,FW,29,82,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette
2021,Arsenal,Premier League,Bernd Leno,GER,GK,28,83,https://fbref.com/en/players/2628fd2b/Bernd-Leno
2021,Arsenal,Premier League,Thomas Partey,GHA,MF,27,83,https://fbref.com/en/players/529f49ab/Thomas-Partey
2021,Arsenal,Premier League,Pierre-Emerick Aubameyang,GAB,FW,31,85,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2021,Arsenal,Premier League,Héctor Bellerín,ESP,DF,25,78,https://fbref.com/en/players/f874dd44/Hector-Bellerin
2021,Arsenal,Premier League,Dani Ceballos,ESP,MF,23,77,https://fbref.com/en/players/c0617e2b/Dani-Ceballos
2021,Arsenal,Premier League,Mohamed Elneny,EGY,MF,28,77,https://fbref.com/en/players/47a34c4f/Mohamed-Elneny
2021,Arsenal,Premier League,David Luiz,BRA,DF,33,79,https://fbref.com/en/players/c0e27d1a/David-Luiz
2021,Arsenal,Premier League,Willian,BRA,"FW,MF",31,78,https://fbref.com/en/players/8b9ebd03/Willian
2021,Aston Villa,Premier League,Trézéguet,EGY,FW,25,75,https://fbref.com/en/players/3ae14ed1/Trezeguet
2021,Aston Villa,Premier League,Anwar El Ghazi,NED,FW,25,76,https://fbref.com/en/players/ffa90327/Anwar-El-Ghazi
2021,Aston Villa,Premier League,Douglas Luiz,BRA,MF,22,77,https://fbref.com/en/players/6f7d826d/Douglas-Luiz
2021,Aston Villa,Premier League,Matt Targett,ENG,DF,24,77,https://fbref.com/en/players/e514ab62/Matt-Targett
2021,Aston Villa,Premier League,Bertrand Traoré,BFA,FW,24,77,https://fbref.com/en/players/c47541e0/Bertrand-Traore
2021,Aston Villa,Premier League,Ross Barkley,ENG,MF,26,78,https://fbref.com/en/players/3a24769f/Ross-Barkley
2021,Aston Villa,Premier League,Matty Cash,POL,DF,22,78,https://fbref.com/en/players/2389cdc2/Matty-Cash
2021,Aston Villa,Premier League,Ezri Konsa,ENG,DF,22,78,https://fbref.com/en/players/0313a347/Ezri-Konsa
2021,Aston Villa,Premier League,John McGinn,SCO,MF,25,78,https://fbref.com/en/players/90f91999/John-McGinn
2021,Aston Villa,Premier League,Tyrone Mings,ENG,DF,27,78,https://fbref.com/en/players/8397a50c/Tyrone-Mings
2021,Aston Villa,Premier League,Ollie Watkins,ENG,FW,24,78,https://fbref.com/en/players/aed3a70f/Ollie-Watkins
2021,Aston Villa,Premier League,Jack Grealish,ENG,"FW,MF",24,84,https://fbref.com/en/players/b0b4fd3e/Jack-Grealish
2021,Aston Villa,Premier League,Emiliano Martínez,ARG,GK,27,84,https://fbref.com/en/players/7956236f/Emiliano-Martinez
2021,Brighton,Premier League,Danny Welbeck,ENG,FW,29,73,https://fbref.com/en/players/ce5143da/Danny-Welbeck
2021,Brighton,Premier League,Dan Burn,ENG,DF,28,75,https://fbref.com/en/players/b2d31e83/Dan-Burn
2021,Brighton,Premier League,Adam Lallana,ENG,"MF,FW",32,75,https://fbref.com/en/players/99813635/Adam-Lallana
2021,Brighton,Premier League,Alexis Mac Allister,ARG,"MF,FW",21,75,https://fbref.com/en/players/83d074ff/Alexis-Mac-Allister
2021,Brighton,Premier League,Solly March,ENG,DF,26,75,https://fbref.com/en/players/bb5fbd2b/Solly-March
2021,Brighton,Premier League,Adam Webster,ENG,DF,25,75,https://fbref.com/en/players/c40b6180/Adam-Webster
2021,Brighton,Premier League,Pascal Groß,GER,"MF,DF",29,76,https://fbref.com/en/players/8aec0537/Pascal-Gross
2021,Brighton,Premier League,Robert Sánchez,ESP,GK,22,76,https://fbref.com/en/players/6a713852/Robert-Sanchez
2021,Brighton,Premier League,Neal Maupay,FRA,"FW,MF",23,77,https://fbref.com/en/players/4bcf39f6/Neal-Maupay
2021,Brighton,Premier League,Leandro Trossard,BEL,"FW,MF",25,77,https://fbref.com/en/players/38ceb24a/Leandro-Trossard
2021,Brighton,Premier League,Joël Veltman,NED,DF,28,77,https://fbref.com/en/players/dad4b285/Joel-Veltman
2021,Brighton,Premier League,Lewis Dunk,ENG,DF,28,78,https://fbref.com/en/players/282f75f3/Lewis-Dunk
2021,Brighton,Premier League,Yves Bissouma,MLI,MF,23,79,https://fbref.com/en/players/6c203af0/Yves-Bissouma
2021,Brighton,Premier League,Mathew Ryan,AUS,GK,28,77,https://fbref.com/en/players/4535e4bb/Mathew-Ryan
2021,Brighton,Premier League,Ben White,ENG,"DF,MF",22,76,https://fbref.com/en/players/35e413f1/Ben-White
2021,Burnley,Premier League,Robbie Brady,IRL,MF,28,73,https://fbref.com/en/players/96bb8cc2/Robbie-Brady
2021,Burnley,Premier League,Erik Pieters,NED,"DF,MF",31,74,https://fbref.com/en/players/1ef37668/Erik-Pieters
2021,Burnley,Premier League,Jay Rodriguez,ENG,"FW,MF",31,74,https://fbref.com/en/players/4ab53cdb/Jay-Rodriguez
2021,Burnley,Premier League,Matěj Vydra,CZE,FW,28,74,https://fbref.com/en/players/0d4ceb32/Matej-Vydra
2021,Burnley,Premier League,Ashley Barnes,ENG,FW,30,75,https://fbref.com/en/players/2691c772/Ashley-Barnes
2021,Burnley,Premier League,Jóhann Berg Guðmundsson,ISL,MF,29,75,https://fbref.com/en/players/f72293fc/Johann-Berg-Gudmundsson
2021,Burnley,Premier League,Josh Brownhill,ENG,MF,24,76,https://fbref.com/en/players/47369df8/Josh-Brownhill
2021,Burnley,Premier League,Jack Cork,ENG,MF,31,76,https://fbref.com/en/players/74e12f1e/Jack-Cork
2021,Burnley,Premier League,Matthew Lowton,ENG,DF,31,76,https://fbref.com/en/players/9a9c05db/Matthew-Lowton
2021,Burnley,Premier League,Charlie Taylor,ENG,DF,26,76,https://fbref.com/en/players/cc2d7ad5/Charlie-Taylor
2021,Burnley,Premier League,Dwight McNeil,ENG,MF,20,77,https://fbref.com/en/players/fc15fb84/Dwight-McNeil
2021,Burnley,Premier League,Ashley Westwood,ENG,MF,30,78,https://fbref.com/en/players/495945ef/Ashley-Westwood
2021,Burnley,Premier League,Ben Mee,ENG,DF,30,79,https://fbref.com/en/players/8df7a2fb/Ben-Mee
2021,Burnley,Premier League,Chris Wood,NZL,FW,28,79,https://fbref.com/en/players/4e9a0555/Chris-Wood
2021,Burnley,Premier League,James Tarkowski,ENG,DF,27,81,https://fbref.com/en/players/15ea812b/James-Tarkowski
2021,Burnley,Premier League,Nick Pope,ENG,GK,28,83,https://fbref.com/en/players/4b40d9ca/Nick-Pope
2021,Chelsea,Premier League,Callum Hudson-Odoi,ENG,"FW,DF",19,77,https://fbref.com/en/players/15f3ec41/Callum-Hudson-Odoi
2021,Chelsea,Premier League,Marcos Alonso,ESP,DF,29,79,https://fbref.com/en/players/f4290206/Marcos-Alonso
2021,Chelsea,Premier League,Andreas Christensen,DEN,DF,24,80,https://fbref.com/en/players/1cb49278/Andreas-Christensen
2021,Chelsea,Premier League,Reece James,ENG,DF,20,81,https://fbref.com/en/players/1265a93a/Reece-James
2021,Chelsea,Premier League,Reece James,ENG,DF,20,81,https://fbref.com/en/players/1265a93a/Reece-James
2021,Chelsea,Premier League,Ben Chilwell,ENG,DF,23,82,https://fbref.com/en/players/d2424d1b/Ben-Chilwell
2021,Chelsea,Premier League,Christian Pulisic,USA,"FW,MF",21,82,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2021,Chelsea,Premier League,César Azpilicueta,ESP,DF,30,83,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta
2021,Chelsea,Premier League,Mateo Kovačić,CRO,MF,26,83,https://fbref.com/en/players/79c0821a/Mateo-Kovacic
2021,Chelsea,Premier League,Edouard Mendy,SEN,GK,28,83,https://fbref.com/en/players/33887998/Edouard-Mendy
2021,Chelsea,Premier League,Mason Mount,ENG,"MF,FW",21,83,https://fbref.com/en/players/9674002f/Mason-Mount
2021,Chelsea,Premier League,Antonio Rüdiger,GER,DF,27,83,https://fbref.com/en/players/18b896d6/Antonio-Rudiger
