Season_End_Year,Squad,Comp,Player,Nation,Age,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,TmPos,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xA,A_minus_xA,KP,Final_Third,PPA,CrsPA,Prog,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Press_Pass,Sw_Pass,Crs_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Ground_Height,Low_Height,High_Height,Left_Body,Right_Body,Head_Body,TI_Body,Other_Body,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial
2022,Arsenal,Premier League,Gabriel Dos Santos,BRA,23,35,35,3063,34,5,0,5,0,0,8,1,0.15,0,0.15,0.15,0.15,2.7,2.7,0.8,3.5,0.08,0.02,0.1,0.08,0.1,Centre-Back,34,5,30,12,40,0.88,0.35,0.17,0.42,11,0,0,0,0.09,2.3,2.3,1796,2002,89.7,37056,10032,535,565,94.7,1002,1054,95.1,239,350,68.3,0.8,-0.8,8,111,1,0,83,2002,1943,59,36,1,178,38,4,0,0,0,0,1652,136,214,1748,144,65,4,10,1796,6,29,25,13,22,0.65,20,0,0,1,0,1,1,0.03,1,0,0,0,0,0,57,37,39,14,4,23,35,65.7,12,222,86,38.7,131,77,14,49,28,0,21,39,96,117,3,2300,370,1195,1174,107,42,2248,3,3,100,3,0,1610,9846,5517,144,24,0,8,3,1745,1705,97.7,8,35,3063,88,89.6,34,35,88,31,0,NA,0,1.97,61,37,24,0.71,3.48,57.5,36.7,20.8,0.61,2.63,1,24,43,1,4,37,0,0,0,250,68,38,64.2
2022,Arsenal,Premier League,Rob Holding,ENG,25,15,9,845,9.4,1,0,1,0,0,4,1,0.11,0,0.11,0.11,0.11,0.3,0.3,0,0.3,0.03,0,0.03,0.03,0.03,Centre-Back,9.4,1,4,1,25,0.43,0.11,0.25,1,6.8,0,0,0,0.07,0.7,0.7,418,474,88.2,8635,2113,118,129,91.5,239,253,94.5,57,84,67.9,0,0,0,17,0,0,14,474,458,16,7,0,62,10,0,0,0,0,0,372,34,68,59,374,22,7,1,418,0,9,7,5,3,0.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,10,1,1,5,8,62.5,3,62,19,30.6,35,23,4,25,18,0,7,15,27,50,0,579,94,298,289,19,6,564,1,3,33.3,1,0,350,1599,783,16,2,0,1,3,373,364,97.6,0,15,845,56,24.7,9.4,9,84,8,6,16,21,2.07,18,14,4,0.43,0.11,13.9,12.6,1.4,0.14,-0.25,1,9,4,0,0,7,0,0,0,88,28,21,57.1
2022,Arsenal,Premier League,Takehiro Tomiyasu,JPN,22,21,20,1679,18.7,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,0.8,0.8,0.6,1.4,0.04,0.03,0.08,0.04,0.08,Centre-Back,18.7,0,11,2,18.2,0.59,0.11,0,0,16.1,0,0,0,0.08,-0.8,-0.8,883,1085,81.4,15671,5400,404,455,88.8,376,458,82.1,89,138,64.5,0.6,0.4,12,74,17,13,55,1085,926,159,18,2,122,23,27,0,0,0,0,669,215,201,257,568,73,141,4,883,3,19,23,18,30,1.61,25,1,0,0,0,4,4,0.21,3,0,0,0,0,1,38,17,19,12,7,16,30,53.3,14,221,70,31.7,90,97,34,37,3,0,34,36,74,48,1,1305,74,410,660,313,21,1151,7,15,46.7,9,0,718,3336,1848,73,27,2,19,15,811,750,92.5,29,21,1679,80,49.1,18.7,20,84,16,1,1,1,1.95,30,20,10,0.54,0.38,27.7,22.8,4.8,0.26,-0.15,0,20,14,0,27,17,0,0,0,197,57,51,52.8
2022,Arsenal,Premier League,Ben White,ENG,23,32,32,2880,32,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0.6,1.6,0.03,0.02,0.05,0.03,0.05,Centre-Back,32,0,12,3,25,0.37,0.09,0,0,14.1,0,0,0,0.08,-1,-1,1538,1793,85.8,31146,9415,512,558,91.8,816,883,92.4,197,315,62.5,0.6,-0.6,9,121,6,0,90,1793,1730,63,41,2,193,41,4,0,0,0,0,1361,144,288,171,1464,95,22,2,1538,4,32,36,19,25,0.78,18,1,0,4,1,1,1,0.03,1,0,0,0,0,0,42,23,27,11,4,19,43,44.2,24,252,82,32.5,134,95,23,54,26,0,28,66,108,114,0,2111,251,1015,1123,131,21,2051,7,16,43.8,8,2,1388,7856,4466,100,19,2,9,11,1442,1428,99,3,32,2880,90,84.2,32,32,90,32,0,NA,2,1.88,52,35,17,0.53,1.2,52.3,35.2,17.1,0.53,1.25,0,22,29,0,4,23,0,1,1,302,68,45,60.2
2022,Aston Villa,Premier League,Ezri Konsa,ENG,23,29,29,2477,27.5,2,0,2,0,0,6,2,0.07,0,0.07,0.07,0.07,1.5,1.5,0.3,1.7,0.05,0.01,0.06,0.05,0.06,Centre-Back,27.5,2,15,6,40,0.55,0.22,0.13,0.33,7,0,0,0,0.1,0.5,0.5,850,971,87.5,16866,5122,261,286,91.3,464,497,93.4,111,166,66.9,0.3,-0.3,4,26,0,0,33,971,927,44,35,0,113,17,1,0,0,0,0,748,86,137,91,784,49,7,7,850,0,20,18,9,10,0.36,8,0,0,1,0,1,0,0,0,0,0,0,0,0,26,14,15,10,1,7,13,53.8,6,179,64,35.8,106,60,13,43,22,0,21,45,71,81,2,1205,215,708,490,72,35,1170,6,8,75,6,0,725,3197,1679,29,8,0,9,8,794,757,95.3,7,29,2477,85,72.4,27.5,29,85,24,0,NA,3,1.21,36,41,-5,-0.18,-0.47,30.4,37.9,-7.5,-0.27,-0.51,1,17,38,1,1,14,0,1,0,183,60,43,58.3
2022,Aston Villa,Premier League,Tyrone Mings,ENG,28,36,35,3189,35.4,1,3,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,1.4,1.4,1.5,2.9,0.04,0.04,0.08,0.04,0.08,Centre-Back,35.4,1,21,5,23.8,0.59,0.14,0.05,0.2,12.4,0,0,0,0.07,-0.4,-0.4,1272,1580,80.5,28303,10048,334,390,85.6,697,768,90.8,232,394,58.9,1.5,1.5,10,76,6,1,75,1580,1507,73,53,2,162,37,4,0,0,0,0,1089,131,360,1158,254,98,18,2,1272,3,37,29,19,26,0.73,20,0,0,3,2,1,4,0.11,3,0,0,1,0,0,36,21,23,8,5,11,21,52.4,10,203,66,32.5,113,67,23,70,34,3,36,78,114,181,2,1960,376,1203,759,125,55,1893,9,11,81.8,9,0,1096,6873,3659,67,15,1,7,3,1231,1178,95.7,10,36,3189,89,93.2,35.4,35,90,35,1,39,0,1.22,49,49,0,0,0.78,41.8,46.8,-5,-0.14,-0.08,0,29,27,1,4,21,0,1,0,314,95,49,66
2022,Brentford,Premier League,Kristoffer Ajer,NOR,23,24,23,1995,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,2.2,0.04,0.06,0.1,0.04,0.1,Centre-Back,22.2,1,7,1,14.3,0.32,0.05,0.14,1,9.1,0,0,0,0.11,0.2,0.2,629,873,72.1,11601,5267,245,296,82.8,295,370,79.7,74,153,48.4,1.4,1.6,6,48,10,1,75,873,721,152,8,0,138,15,12,0,0,0,0,449,217,207,42,577,63,144,2,629,4,23,33,40,28,1.26,20,4,1,1,1,1,6,0.27,3,1,1,0,1,0,40,22,25,12,3,20,36,55.6,16,206,73,35.4,107,70,29,36,13,1,23,49,89,81,1,1108,117,462,534,184,31,959,11,17,64.7,11,0,562,3385,2047,73,27,2,13,11,595,534,89.7,18,24,1995,83,58.3,22.2,23,85,17,1,45,3,1.29,29,32,-3,-0.14,0.18,29.6,29.8,-0.3,-0.01,0.05,0,18,19,0,12,22,0,0,0,186,63,38,62.4
2022,Brentford,Premier League,Mads Bech Sørensen,DEN,22,11,9,835,9.3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.01,0.04,0.05,0.01,0.05,Centre-Back,9.3,0,2,0,0,0.22,0,0,NA,10.5,0,0,0,0.04,-0.1,-0.1,387,500,77.4,7991,3011,130,153,85,188,222,84.7,65,110,59.1,0.4,-0.4,7,21,4,3,15,500,425,75,4,0,37,3,19,0,0,0,0,326,44,130,331,61,28,71,0,387,1,7,12,12,9,0.97,4,5,0,0,0,0,0,0,0,0,0,0,0,0,12,7,10,2,0,5,6,83.3,1,73,29,39.7,45,22,6,10,6,0,4,9,21,28,0,562,79,298,225,72,8,487,0,0,NA,0,0,297,1789,1118,20,5,0,1,1,332,323,97.3,3,11,835,76,24.4,9.3,9,83,7,2,45,14,1.45,9,14,-5,-0.54,-0.43,12.2,12.7,-0.5,-0.05,-0.02,0,9,4,0,19,7,0,1,0,99,14,10,58.3
2022,Brentford,Premier League,Pontus Jansson,SWE,30,37,37,3321,36.9,3,1,3,0,0,7,0,0.08,0.03,0.11,0.08,0.11,2.9,2.9,0.5,3.4,0.08,0.01,0.09,0.08,0.09,Centre-Back,36.9,3,23,10,43.5,0.62,0.27,0.13,0.3,8.2,0,0,0,0.13,0.1,0.1,1188,1449,82,25071,6720,330,389,84.8,669,767,87.2,181,268,67.5,0.5,0.5,4,35,0,0,53,1449,1393,56,40,0,148,17,1,0,0,0,0,1007,161,281,139,1061,153,15,4,1188,5,19,26,11,15,0.41,7,0,0,7,1,0,4,0.11,1,0,0,2,1,0,36,25,27,8,1,17,36,47.2,19,204,75,36.8,120,71,13,56,27,0,29,69,105,208,2,1840,423,1173,675,64,49,1786,3,4,75,4,0,880,4387,1998,34,0,1,8,3,1051,996,94.8,4,37,3321,90,97.1,36.9,37,90,36,0,NA,0,1.16,46,56,-10,-0.27,-2.09,45.9,48.5,-2.6,-0.07,-1.31,0,20,12,5,1,25,1,0,0,374,131,82,61.5
2022,Brentford,Premier League,Ethan Pinnock,JAM,28,32,32,2694,29.9,1,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09,Centre-Back,29.9,1,18,8,44.4,0.6,0.27,0.06,0.13,9,0,0,0,0.08,-0.5,-0.5,1180,1555,75.9,23816,8986,398,463,86,590,746,79.1,179,313,57.2,1.2,-0.2,10,67,7,3,58,1555,1316,239,41,0,196,19,28,0,0,0,0,844,269,442,989,117,154,197,3,1180,7,21,30,17,20,0.67,14,3,0,3,0,0,3,0.1,1,1,0,1,0,0,63,38,46,15,2,20,36,55.6,16,281,102,36.3,167,94,20,49,13,0,36,56,119,175,1,1925,307,1046,725,224,55,1694,5,8,62.5,6,0,800,4048,2209,39,8,0,13,7,1007,960,95.3,13,32,2694,84,78.8,29.9,32,84,28,0,NA,0,1.13,35,43,-8,-0.27,-0.27,35.9,38.2,-2.3,-0.08,-0.2,0,12,19,1,28,38,0,0,0,349,151,71,68
