"","League","Gender","Country","Season","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score_Final","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score_Final","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","time_start","stint_length","Is_Pens","Event_Half","Event_Type","Event_Players","Score_Progression","match_id"
"1","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",1,21,FALSE,1,"Kick-off",NA,"0:00","Brentford_Arsenal"
"2","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",22,37,FALSE,1,"Goal","Sergi Canós Assist: Ethan Pinnock","1:00","Brentford_Arsenal"
"3","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League",NA,"Away",59,12,FALSE,2,"Substitute","Bukayo Saka for Folarin Balogun","1:00","Brentford_Arsenal"
"4","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",71,0,FALSE,2,"Substitute","Mads Bech Sørensen for Kristoffer Ajer","1:00","Brentford_Arsenal"
"5","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League",NA,"Away",71,2,FALSE,2,"Substitute","Reiss Nelson for Martinelli","1:00","Brentford_Arsenal"
"6","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",73,7,FALSE,2,"Goal","Christian Nørgaard","2:00","Brentford_Arsenal"
"7","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",80,1,FALSE,2,"Substitute","Mads Bidstrup for Frank Onyeka","2:00","Brentford_Arsenal"
"8","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League",NA,"Away",81,5,FALSE,2,"Substitute","Nuno Tavares for Calum Chambers","2:00","Brentford_Arsenal"
"9","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",86,9,FALSE,2,"Substitute","Marcus Forss for Bryan Mbeumo","2:00","Brentford_Arsenal"
"10","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",1,21,FALSE,1,"Kick-off",NA,"0:00","Brentford_Arsenal"
"11","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",22,37,FALSE,1,"Goal","Sergi Canós Assist: Ethan Pinnock","1:00","Brentford_Arsenal"
"12","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League",NA,"Away",59,12,FALSE,2,"Substitute","Bukayo Saka for Folarin Balogun","1:00","Brentford_Arsenal"
"13","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",71,0,FALSE,2,"Substitute","Mads Bech Sørensen for Kristoffer Ajer","1:00","Brentford_Arsenal"
"14","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League",NA,"Away",71,2,FALSE,2,"Substitute","Reiss Nelson for Martinelli","1:00","Brentford_Arsenal"
"15","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",73,7,FALSE,2,"Goal","Christian Nørgaard","2:00","Brentford_Arsenal"
"16","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",80,1,FALSE,2,"Substitute","Mads Bidstrup for Frank Onyeka","2:00","Brentford_Arsenal"
"17","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League",NA,"Away",81,5,FALSE,2,"Substitute","Nuno Tavares for Calum Chambers","2:00","Brentford_Arsenal"
"18","Premier League","M","ENG","2021-2022","8/13/2021","Premier League (Matchweek 1)","Brentford","3/5/2002",2,1.3,"Sergi Canós · 22&rsquor; Christian Nørgaard · 73&rsquor;",0,0,"Arsenal","4-2-3-1",0,1.4,"",0,0,"https://fbref.com/en/matches/3adf2aa7/Brentford-Arsenal-August-13-2021-Premier-League","Brentford","Home",86,9,FALSE,2,"Substitute","Marcus Forss for Bryan Mbeumo","2:00","Brentford_Arsenal"
"19","Premier League","M","ENG","2021-2022","8/14/2021","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,1.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;",1,0,"Leeds United","4-4-1-1",1,0.6,"Luke Ayling · 48&rsquor;",2,0,"https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",1,29,FALSE,1,"Kick-off",NA,"0:00","Manchester United_Leeds United"
"20","Premier League","M","ENG","2021-2022","8/14/2021","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,1.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;",1,0,"Leeds United","4-4-1-1",1,0.6,"Luke Ayling · 48&rsquor;",2,0,"https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League","Manchester United","Home",30,16,FALSE,1,"Goal","Bruno Fernandes Assist: Paul Pogba","1:00","Manchester United_Leeds United"
"21","Premier League","M","ENG","2021-2022","8/14/2021","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,1.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;",1,0,"Leeds United","4-4-1-1",1,0.6,"Luke Ayling · 48&rsquor;",2,0,"https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League",NA,"Away",46,2,FALSE,2,"Substitute","Junior Firpo for Rodrigo","1:00","Manchester United_Leeds United"
"22","Premier League","M","ENG","2021-2022","8/14/2021","Premier League (Matchweek 1)","Manchester United","4-2-3-1",5,1.5,"Bruno Fernandes · 30&rsquor; Mason Greenwood · 52&rsquor; Bruno Fernandes · 54&rsquor; Bruno Fernandes · 60&rsquor; Fred · 68&rsquor;",1,0,"Leeds United","4-4-1-1",1,0.6,"Luke Ayling · 48&rsquor;",2,0,"https://fbref.com/en/matches/e62685d4/Manchester-United-Leeds-United-August-14-2021-Premier-League",NA,"Away",48,4,FALSE,2,"Goal","Luke Ayling Assist: Stuart Dallas","1:01","Manchester United_Leeds United"
