Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Press_Pass,Sw_Pass,Crs_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Ground_Height,Low_Height,High_Height,Left_Body,Right_Body,Head_Body,TI_Body,Other_Body,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper
2022,Arsenal,Premier League,Bernd Leno,GER,GK,29,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/2628fd2b/Bernd-Leno,4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,111,68,43,6,0,10,0,0,0,0,0,0,47,4,60,8,89,0,0,13,72,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,125,105,125,0,0,0,82,0,0,NA,0,0,56,290,112,0,0,0,0,0,47,47,100,0,4,360,90,10.5,4,4,90,4,0,NA,29,0.75,1,9,-8,-2,-2.62,3.1,8.5,-5.3,-1.33,-1.87,0,0,0,0,0,0,0,0,0,16,0,0,NA,9,2.25,19,9,52.6,1,0,3,1,25,0,0,0,0,NA,9,0,0,1,0,7.4,0.39,-1.6,-0.41,16,53,30.2,74,12,37.8,37.1,37,67.6,49.8,48,2,4.2,1,0.25,12.9
2022,Arsenal,Premier League,Aaron Ramsdale,ENG,GK,23,1998,34,34,3060,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,34,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,1156,880,276,83,0,88,35,0,0,0,0,0,612,45,499,83,862,1,1,157,788,3,46,17,4,1,0.03,0,1,0,0,0,0,1,0.03,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,2,0,1249,995,1238,14,0,0,977,2,2,100,2,0,685,3537,1851,0,0,0,0,0,611,606,99.2,0,34,3060,90,89.5,34,34,90,34,0,NA,2,1.94,60,39,21,0.62,2.62,56.8,38.7,18.1,0.53,1.87,0,0,7,0,0,0,0,0,0,183,0,1,0,39,1.15,122,84,72.1,21,3,10,12,35.3,6,5,0,1,0,39,5,0,3,1,33.4,0.24,-4.6,-0.13,176,521,33.8,964,157,39.6,37,192,72.4,57.2,260,21,8.1,35,1.03,16
2022,Aston Villa,Premier League,Emiliano Martínez,ARG,GK,28,1992,36,36,3240,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7956236f/Emiliano-Martinez,36,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,1081,706,375,101,0,92,34,0,0,0,0,0,562,35,484,128,738,1,0,141,781,4,35,10,2,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,1,1,1,1,1141,991,1128,16,0,0,772,1,1,100,1,0,531,2547,1431,0,0,0,0,0,443,439,99.1,0,36,3240,90,94.7,36,36,90,36,0,NA,0,1.25,50,48,2,0.06,2.06,42.2,45.1,-2.9,-0.08,1.01,0,0,8,0,0,0,0,0,0,164,0,1,0,48,1.33,136,93,67.6,13,6,17,11,30.6,6,4,1,1,20,48,4,2,6,2,40.8,0.27,-5.2,-0.15,205,491,41.8,807,141,45.1,38.7,274,46.4,40,282,17,6,25,0.69,14
2022,Aston Villa,Premier League,Robin Olsen,SWE,GK,31,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/e7ee38c3/Robin-Olsen,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,48,26,22,2,0,1,1,0,0,0,0,0,13,1,34,3,33,0,0,6,25,1,3,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,49,48,49,0,0,0,27,0,0,NA,0,0,14,58,43,0,0,0,0,0,14,13,92.9,0,1,90,90,2.6,1,1,90,1,0,NA,17,0,2,3,-1,-1,-0.97,0.3,2.9,-2.6,-2.58,-2.51,0,0,0,0,0,0,0,0,0,6,0,0,NA,3,3,5,2,40,0,0,1,0,0,0,0,0,0,NA,3,0,0,0,0,2.6,0.52,-0.4,-0.4,11,32,34.4,28,6,64.3,45.9,20,70,54,12,1,8.3,0,0,9.7
2022,Aston Villa,Premier League,Jed Steer,ENG,GK,28,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/a8a3d139/Jed-Steer,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,36,27,9,3,0,0,0,0,0,0,0,0,24,0,12,19,10,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,37,33,36,1,0,0,28,0,0,NA,0,0,19,77,52,0,0,0,0,0,20,19,95,0,1,90,90,2.6,1,1,90,1,0,NA,18,0,0,3,-3,-3,-3.03,1.5,1.1,0.4,0.39,0.54,0,0,0,0,0,0,0,0,0,6,0,0,NA,3,3,4,1,25,0,0,1,0,0,0,0,0,0,NA,3,0,0,0,0,1.8,0.45,-1.2,-1.2,5,13,38.5,30,6,30,34.4,6,66.7,53.8,8,1,12.5,1,1,14.3
2022,Brentford,Premier League,Álvaro Fernández,ESP,GK,23,1998,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/f127d782/Alvaro-Fernandez,12,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,500,382,118,35,0,34,8,0,0,0,0,0,238,13,249,47,368,0,0,56,322,1,17,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,2,533,440,528,7,0,0,416,0,0,NA,0,0,268,1204,730,0,0,0,0,0,273,273,100,0,12,1080,90,31.6,12,12,90,12,0,NA,19,0.92,13,24,-11,-0.92,-1.03,11.2,17.6,-6.5,-0.54,-0.74,0,0,3,0,0,0,0,0,1,68,0,0,NA,24,2,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0,24,1,0,5,2,24.7,0.36,2.7,0.23,82,247,33.2,417,56,48,38.6,83,56.6,41,123,7,5.7,10,0.83,14.3
2022,Brentford,Premier League,Jonas Lössl,DEN,GK,32,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/939bc634/Jonas-Lossl,2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,62,46,16,3,0,5,2,0,0,0,0,0,29,4,29,0,55,0,0,6,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,66,54,65,1,0,0,50,0,0,NA,0,0,42,214,140,0,0,0,0,0,36,35,97.2,0,2,180,90,5.3,2,2,90,2,0,NA,10,0,2,5,-3,-1.5,-1.36,3.5,2.2,1.3,0.65,0.72,0,0,0,0,0,0,0,0,0,8,0,0,NA,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,0,NA,5,0,0,0,0,3.3,0.46,-1.7,-0.87,13,30,43.3,49,6,53.1,38.9,13,30.8,34.2,14,0,0,4,2,19.8
2022,Brentford,Premier League,David Raya,ESP,GK,25,1995,24,24,2160,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/98ea5115/David-Raya,24,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,1051,771,280,80,0,80,50,0,0,0,0,0,433,33,585,77,778,2,0,116,705,6,38,18,4,2,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1112,895,1086,29,0,0,833,0,0,NA,0,0,540,2780,1355,1,0,0,2,0,551,550,99.8,0,24,2160,90,63.2,24,24,90,24,0,NA,0,1.46,33,27,6,0.25,1.25,33.2,29.2,3.9,0.16,0.54,0,1,2,0,0,0,0,1,0,126,0,0,NA,27,1.13,99,75,76.8,10,5,9,8,33.3,4,4,0,0,0,27,4,1,4,0,27.5,0.24,0.5,0.02,254,577,44,851,116,50.8,41.5,200,72.5,53.7,230,15,6.5,26,1.08,15
2022,Brighton,Premier League,Robert Sánchez,ESP,GK,23,1997,37,37,3329,37,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,https://fbref.com/en/players/6a713852/Robert-Sanchez,37,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,1500,1190,310,79,0,118,56,0,0,0,0,0,840,50,610,206,1067,0,0,164,1053,6,43,31,5,4,0.11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,5,1,20,5,0,0,2,0,0,2,0,0,0,4,1597,1263,1584,15,0,0,1290,0,0,NA,0,0,893,4107,2426,0,0,0,0,0,914,914,100,0,37,3329,90,97.3,37,37,90,36,0,NA,0,1.38,42,42,0,0,1.98,45.6,45,0.7,0.02,0.23,0,0,3,0,0,0,0,0,0,166,0,0,NA,42,1.14,140,100,72.1,12,15,10,11,29.7,4,3,0,1,0,42,3,1,5,0,43.2,0.29,1.2,0.03,196,618,31.7,1269,163,36.2,37.6,231,68.8,54.1,317,37,11.7,30,0.81,13.9
2022,Brighton,Premier League,Jason Steele,ENG,GK,30,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/28300a16/Jason-Steele,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,38,32,6,0,0,0,2,0,0,0,0,0,31,1,6,2,34,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,42,37,42,0,0,0,36,0,0,NA,0,0,28,90,36,0,0,0,0,0,28,28,100,0,1,90,90,2.6,1,1,90,1,0,NA,32,0,0,2,-2,-2,-2,0.4,0.6,-0.2,-0.21,-0.23,0,0,0,0,0,0,0,0,0,3,0,0,NA,2,2,5,3,60,0,0,1,0,0,0,0,0,0,NA,2,0,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50,43.8,11,1,9.1,0,0,13
